Date	title	text	brexit
JUL3	Tennis prodigy Cori Gauff shows why role models still matter	One of the most embarrassing things that ever happened to me played out in Wimbledon. Venus and Serena Williams were renting a house on the road where I grew up. Like me, they were barely out of their teens – Venus had just turned 20 – but while I had just finished my A-levels, they were busy tearing up 120 years of tennis history. That was the first year Venus won Wimbledon, which prompted my mum to insist on baking a cake, frogmarching our whole family up the road, and handing it over to the bemused Williams sisters, declaring that as the mother of two black girls, she knew exactly how they felt. I was mortified, but in hindsight I rate my mum for this. She looked at the Williamses and saw role models for her own daughters. And she was right. The arrival of Venus and Serena had a profound impact on me and my sense of self. Their skill was so exceptional, even in an environment that proved repeatedly hostile – becoming the best athlete of her generation didn’t stop the press trolling Serena. They literally changed the game.	0
AUG29	Boris Johnson’s intention is clear: he wants a ‘people v parliament’ election	Boris Johnson’s plan to prorogue parliament ahead of a Queen’s speech on 14 October is intended to provoke parliamentarians into blocking a no-deal Brexit, or triggering a general election through a vote of no confidence. Both are feasible in the time available. The last time parliament stepped in to block no deal earlier in the year, the necessary legislation was passed in just three days. Johnson has deliberately left enough time for parliament to seize control again. That’s because Johnson’s real objective is to use Brexit to win a general election, rather than use a general election to secure Brexit. By forcing the hands of his opponents, he has defined the terrain for a “people versus parliament” election. Expect him to run on “Back Boris, Take Back Britain”. He will say that the only way to definitely leave on 31 October is to give him a parliamentary majority to do so. The man of Eton, Oxford and the Telegraph will position himself as the leader of the people against the hated establishment and “remainer elite”.	1
OCT5	Harry and Meghan are celebrities, but that doesn’t mean they owe us everything	The royal family does not much go in for the vulgarity of emotion. Princess Diana was expected to tolerate her husband’s infidelity in dignified silence, not go crying to Panorama. Her children would, in turn, be expected to walk dry-eyed behind her coffin. The family still mostly takes its lead from the Queen’s constitutional obligation to conceal her feelings, recognising that her rockiest moments have come when asked to reveal more than is comfortable – during Scotland’s independence referendum, or when the unexpected national wave of grief over Diana’s death left the family looking dangerously stiff. The younger royals have pushed the boundaries by discussing their mental health, but raw, unfiltered emotion is still regarded as suspiciously bad for business. Imagine the concern, then, at the Duke and Duchess of Sussex’s insistence on showing some.	0
JUL25	This is a Vote Leave government now. There will be no one else to blame	The Queen’s first prime minister was Winston Churchill. Her 14th is a Winston Churchill tribute act. So perhaps it’s no surprise that Boris Johnson’s debut performance as prime minister included a sub-Churchillian riff, extolling Britain’s readiness not to fight the Nazi menace but to cope with a no-deal exit from the European Union. “The ports will be ready and the banks will be ready and the factories will be ready and business will be ready and the hospitals will be ready,” he said, until one half-expected him to declare that we shall be ready on the beaches, we shall be ready on the landing grounds, we shall be ready in the fields and in the streets and in the hills. But if Johnson has always wanted to be Churchill, the address he delivered on the steps of Downing Street and his first exercise of raw prime ministerial power suggest he wants to be two other people too. Throughout his six-week campaign for the Conservative leadership, friends and enemies alike wondered which Johnson would prevail: would it be the twice-elected mayor of London, who won over a Labour-voting, progressive city, or would it be the leader of the Vote Leave campaign, whose lies and insults have led the US president himself to hail him as the British Trump? The complexion of his first cabinet suggests victory for the latter. But there are also signs that he wants to be both, that – not for the first time – he wants to have his cake and eat it.	0
JUN6	The NHS cannot become a bargaining chip in our desperate deal-making with the US	Even when it’s in the process of being deliberately run down by the Conservatives so it can finally be privatised, our National Health Service makes America’s arrangements look monstrous by comparison. So those of us who have long suspected that privatisation is the ideological end-goal for many Conservative rightwingers were left unsurprised when the US ambassador, Woody Johnson, essentially said that our entire economy was up for grabs in a post-Brexit trade deal. Trump echoed this sentiment and then backtracked when interviewed by Piers Morgan on Good Morning Britain (a cocktail of entities so loathsome that it can only add credence to the notion that we are hurtling along a dark alternative timeline following the rupturing of the universe caused by David Bowie’s death). Trump’s state visit may have seen the last few days of British diplomacy descend into a Boschian hellscape populated by sour-faced old colonialists, disturbingly shiny simulacra offspring, and a man in a wig and tailcoat who wouldn’t pass muster as an am-dram waiter. But more disturbing still was having to witness the to-ing and fro-ing over the bartering of our health service. Trump’s blustering over whether or not he wants to get his tiny mitts on our NHS is ultimately irrelevant: who truly believes that the man understands anything about the issues at hand? But when the time comes to discuss the parcelling off of NHS services in a desperate trade deal, the discussion will be dominated by US business interests.	0
JUL22	Boris Johnson, the prime minister? I’m sorry to say that I’m partly to blame	How can this be happening?” I have lost count of the number of times I have been asked this question in the past few weeks. What people want to know – and I mean people from across the political spectrum – is how Boris Johnson, barring a serious upset, is about to become prime minister, first lord of the Treasury, and generally in charge of everything. How?	1
MAY13	Ecstasy, despair and how the great game reminded us of the ties that bind	Eleven minutes into the second half, as Gini Wijnaldum’s header fizzed into the top corner and Liverpool took a 3-0 lead in their Champions League semi-final last week, I just stood there, motionless, staring at my mate Mick Potter with bulging eyes. He looked back, shaking his head. His dumbfounded expression said: “We’ve seen a lot, you and me – but nothing like this.” I’ve known Mick since 1982. We have seen a lot together – Heysel, Hillsborough, dark, dark days as well as glorious times following our team. As with all friendships – your work, your family – your fate can draw you away, but there’s always that sinew that connects you. Our team; our history. The things we’ve done together, as supporters.	0
AUG17	Packing Christmas cards knocked the pseudo-intellectual snob out of me	I finished my A-levels in July of 1999, the summer of the eclipse, the Matrix and, legally, the start of my adult life. The one thing these things had in common was that none of them was visible from the Leicestershire village of Earl Shilton. It’s a place you might describe as “picturesque” or “rural”, as long as you were standing on the outskirts and facing the surrounding countryside. At the time I was more likely to use words like “bleak”, “small” and “decaying, isolated shithole”, but that’s because I was a teenage Manic Street Preachers fan, and we said that sort of thing a lot. Going to university was something of an unknown quantity in my family, but my parents – unbelievably proud of my offer to study sociology at Loughborough – knew one thing for sure and hammered it home: you got a job in the holidays. It’s just what you did. And I was going to need the money. For the first time since 1962, there was to be no mandatory grant for students (thanks, New Labour!), and though I qualified for support to cover my tuition fees, and a student loan would just about cover the rent for my self-catered, shared room in halls, if I didn’t save any cash I wasn’t going to have any. I knew the student union did pound-a-pint nights, but I’d probably have to eat too.	0
SEP1	A ‘Brexit bonanza’ for UK fishing? That’s a fishy tale with an unhappy ending	One man’s fish is another man’s poisson. Not for much longer, it seems. French fishermen are growing alarmed. They fear a no-deal Brexit will exclude them from “British” waters where they have fished for centuries. The same applies to fishers from Ireland, Belgium, Denmark, the Netherlands and Germany.	1
AUG26	How can children thrive when they are squeezed into cramped homes?	Personal space is a political issue. Analysing data from the English Housing Survey, supplemented by a Comres poll of families in overcrowded housing, the National Housing Federation (NHF) reports that 130,000 families are living in one-bedroom homes. An estimated 1.3 million children live in overcrowded homes, defined as children sleeping in the same room as two or more siblings, their parents or a teenager of the opposite sex. Just 6,000 homes were built in 2018 for social rent, despite at least 145,000 being needed. Some children are sleeping three to a bed, with adults sleeping in kitchens, halls and bathrooms to free up space. There are 96,000 more children living like this than a decade ago. An estimated 92,000 children are thought to be sofa-surfing with their families and not even registering in the figures.	0
