Date	title	text	brexit
SEP2	Term is starting – and English schools must tackle their arts emergency	A new school year is about to begin. This means that I might soon arrive at a school and do a poetry workshop with some younger teenagers. It could well go like this. They make it clear that they don’t like poetry. I tell them poetry comes in hundreds of different shapes, sizes, rhythms and moods; one way we can make poems is in a group and without writing anything down. For example, the people who are in charge of us in life have ways of showing they are fed up with us, angry with us, or through which they try to control us; punish us, even. What do such people say? I suggest they go into pairs and say these kinds of things to each other – in role, as parents, teachers, carers. We select the best lines. Then I say, can we create this into a scene? They suggest that all the lines should be said to just one of them sitting in a chair; the rest stand in a semicircle around him, and as they each say their line they point at the boy in the chair and then step back, while the semicircle repeats a chosen chorus. We have made a snapshot of one aspect of their lives. It has rhythm, structure, solo and chorus, movement and mimesis. Later they can perform it for others, write a transcript of it and “publish” it on a school blog. We can talk about what we have made: what worked? Was it like any other poems or plays?	0
APR3	Rees-Mogg and the AfD’s Alice Weidel have a lot in common – all of it nasty	My first reaction on hearing that Jacob Rees-Mogg had retweeted a video by the populist German Alternative für Deutschland (AfD) was: “Well, that figures.” And not just because the AfD is the nasty party in German politics and because Rees-Mogg represents the faction that wants the Conservatives to remain the nasty party in Britain. One of the driving forces behind the AfD is a very German inferiority complex regarding the second world war. Rees-Mogg, with his foppish retro look and accent, embodies the Britain that German nationalists think they lost the war to. A Britain they despise, envy and admire in almost equal measure. What binds Alice Weidel to a party of older white males is her almost pathological hatred of foreigners	0
FEB15	Who’s the biggest failure in the Brexit cabinet: Chris Grayling – or Liam Fox?	How badly do you have to mess up, these days, before you’re not allowed in Theresa May’s cabinet? Just how far does tolerance stretch? You might imagine Chris Grayling to be the ultimate prototype in this real-world experiment, with his granting then cancelling of a £13.8m ferry contract to a ferry company with no ferries, but let us also observe the progress of Liam Fox. Fox is one of the most vocal and optimistic Brexiteers in politics. In 2016, he declared that a trade deal with the EU would be “one of the easiest in human history”. In 2017, he promised to “replicate the 40 EU free trade agreements that exist before we leave the European Union so we’ve got no disruption of trade”, and they would be ready “one second after midnight in March 2019”.	1
FEB28	For Kashmir, there is only one strategy left to try: peace	In the summer of 1999, I was standing outside our ancestral home in Srinagar, the capital of Indian-administered Kashmir, when I saw fighter jets roar past in the skies above me. The Indian air force was carrying out sorties towards the mountainous district of Kargil to dislodge Pakistani militants and, as we found out later, Pakistani soldiers. The troops had quietly occupied the snow-capped peaks as part of a stealth operation masterminded by the then Pakistani general and future president Pervez Musharraf. The sight and sound of sophisticated military hardware provided a brief thrill, but it soon turned into panic. What if these bombers dropped their lethal cache on our home? At night, as I lay in bed, I imagined our neighbourhood as rubble from which acrid smoke rose. I imagined dear ones lying dead in homes and on streets, like in war films. I saw friends and myself as bodies in pools of blood. It was terrifying.	0
FEB22	The EU must resist impatience with Britain – for its own sake	“I will celebrate,” said an emphatic German voice behind me, while some dignitary on stage mouthed the conventional polite platitudes of regret about Britain’s departure from the EU. “I will celebrate when it’s over at last.” A week spent talking to politicians, officials and opinion-makers on the continent tells me that this captures the prevailing mood among Britain’s frustrated and increasingly contemptuous European partners: just get the negotiated withdrawal agreement across the line and Britain out of the door – then we can go back to fighting the real battles for Europe, starting with the European elections. While I understand all the feelings and calculations behind this view, it is profoundly shortsighted. It abandons those of us still fighting for Europe in Britain and underestimates the EU’s role in deciding Britain’s future. A divided country in the midst of a collective nervous breakdown is painfully dependent on the reaction of its now much stronger EU negotiating partner. This explains why every tweet from Donald Tusk, every hint from Jean-Claude Juncker, every nuance from Michel Barnier, is pored over in the British media with almost Sovietological attention. The EU is a major actor in the British debate, not merely a reactor to it. The conclusion is clear: it’s not just Britain that faces a big choice over Brexit, it’s also Europe.	1
AUG24	Poor Prince Andrew is ‘appalled’ by Epstein. Let that be an end to it	It’s basically your classic men-of-the-world vignette. Lying in business dress in the New York mansion of his friend Jeffrey Epstein, Prince Andrew is receiving a foot massage from a young, well-dressed Russian woman. Other men are in the room while this is happening, and they include Epstein (also being foot-massaged by a Russian woman) and the literary agent John Brockman, who runs a foundation connecting scientists and intellectuals with billionaires. As the young Russians work on their feet, Andy is complaining about his lot. “In Monaco,” he says, according to Brockman’s account, “[Prince] Albert works 12 hours a day but at 9pm, when he goes out, he does whatever he wants, and nobody cares. But, if I do it, I’m in big trouble.” Waa waa waa. What could be a more effective heartstring-tugger than “other European princes have it better than me”? It’s right up there with Chandler’s line from Friends: “My wallet’s too small for my 50s, and my diamond shoes are too tight!”	0
SEP19	Suddenly, it’s OK to be German and to talk about race	When I was growing up there was no racism in Germany. In the 1980s every child learned at school that race was a construct that fascists had used to justify segregating and killing people. So if race didn’t exist, it naturally followed that racism didn’t exist either. If you wanted to talk about it people looked at you as if you were the Nazi. All this is changing. It is dizzying to watch my motherland grapple with the concept of race. And, to be honest, to grapple with it myself because when you stop speaking about something you stop thinking about it eventually too. So we’re all walking on eggshells; the discussion about racism is on the agenda but we’re whispering “race” as if it were a dirty word. Except for members of Alternative für Deutschland, the far-right party, who keep pushing the boundaries of what you can and can’t say, and at every opportunity tout their worries about “other races” outbreeding white Germans. Germans of colour, meanwhile, worry about the AfD’s success in winning a quarter of the votes in recent state elections in Saxony and Brandenburg.	0
FEB22	I served in the Met. The lack of progress on diversity is disgusting	The question that needs to be asked is not “are the Metropolitan police institutionally racist?”, or “why does black and minority ethnic recruitment for the police still lag so far behind the diversity of London as a whole?” It should simply be: “Why do young black and minority ethnic people reject the Metropolitan police as a career choice?” This week, marking 20 years since the landmark Macpherson report on institutional racism in the police, the Met said it would take 100 years for the force to mirror the wider diversity of London and will remain disproportionately white. Why?	0
MAR6	I will survive: how Failing Grayling made himself unsackable	What does it take to get sacked by Theresa May these days? That’s a question being asked on the other side of the Atlantic after the bumbling transport secretary, Chris Grayling, went global and became the subject of an editorial in the New York Times. Under the headline “How does he survive? The curious case of ‘Failing Grayling’ ?, the paper describes him as “a byword for haplessness in a golden age of political blundering in Britain ?. While the NYT has developed a reputation of late for gloomy coverage of UK politics, Grayling’s political survival is also the subject of increasing astonishment in the UK. The Labour party claims that, as a government minister, Grayling has cost the taxpayer a total of £2.7bn by way of political gaffes. Meanwhile, there are plenty of Conservative MPs who have grown impatient with their colleague over continuing train problems that have got their constituents seeing red. Most recently, Grayling made the news for a ferry fiasco, when he awarded a no-deal ferry contract to a company with no ferries and then had to pay out £33m to Eurotunnel over the decision.	1
JUN18	I thought I would die in Brook House. Now my abusers will have to face justice	I thought this moment would never come, but I always clung on to hope. I spent nearly two years in Brook House immigration detention centre and I was abused by the officers, like so many other people there. It often felt as if no one would ever find out what was happening. But on Friday a judge ordered an inquiry that will make sure the voices of people like me are heard, and make sure our abusers will finally face justice. If you saw BBC’s Panorama documentary in 2017 on abuse in immigration detention services, you would have seen me. But what was shown on TV wasn’t even half of what went on. We were bullied every day. We were mocked all the time. There would be a casual racist taunt as you came down to breakfast – a casual punch as you went to your cell to try to sleep. And much more. Those who couldn’t speak English got it the worst. Someone I knew well tried to hang himself; the officers took their time in responding. They didn’t care whether we lived or died.	0
