Date	title	text
JAN3	The Home Secretary is right about the migrants - EXPRESS COMMENT	THE Home Secretary has questioned whether the people attempting to cross the Channel are genuine asylum seekers: it took no time at all for the usual suspects to start screeching the place down.  His words were "utterly disgusting" yelled Labour MP Stella Creasy: oh no they were not. “Europe cannot close its borders," warned Jeremy Corbyn: oh yes it can and the Leader of the Opposition might not have noticed this, but it is Europe's porous borders that have caused a crisis across the continent. Its slowness to act has made a parlous situation even worse.
JAN3	Diary of a lifetime is still a work in progress, says VIRGINIA BLACKBURN	IT'S THAT special time of the year again, when you unwrap a little box to find a jewel-coloured trinket lurking inside – yes, it's time to open the new year diary. Apparently the use of actual paper diaries is falling, due to digital versions on phones and laptops, but seriously, there is nothing to beat the traditional variety. And call me a Luddite, but unlike a computerised models, a real one won't break down.  It's a joy opening a brand new diary: all those empty pages to be filled with life events yet to be lived.
JAN3	The rail network has become a national disgrace, says LEO McKINSTRY	SPEAKING on New Year's Day, the embattled Transport Secretary Chris Grayling tried to deliver an optimistic message about the rail network: “I want passenger journeys to be as good as they can be, punctual, reliable and fairly priced.” But his words will have been greeted with a sarcastic laugh by train users.  For at the very moment that Grayling extolled his vision of a brave new world of travel, brutal rises in fares came into effect, bringing more misery for passengers after months of chaos on the system.
JAN3	Fine patients who do not turn up to appointments- EXPRESS COMMENT	WE ARE constantly told that the NHS is the jewel in the national crown, the institution to be revered and protected above all else, the very foundation stone on which the welfare state is built... but it seems that over 15 million of us are not getting the message  That is the number who missed appointments last year, costing £216 million annually and causing no end of inconvenience for the medics while also penalising other patients who are being made to wait weeks for an appointment of their own.
JAN3	Foster parents are the unsung heroes of family life, says ANN WIDDECOMBE	AMONG the unsung heroes and heroines of our society are foster parents. A very large group of them came along to the pantomime last week and with them the children, black and white, large and small, bright and special needs. They all looked happy, clean, well-fed and were prattling about the show.  They were indistinguishable from the other children but each and every one of them had a background of anguish, which these temporary parents were quietly teaching them to handle.
JAN3	We must rally round to save the UK’s high streets, says TIM NEWARK	I HAVE so many happy memories of HMV that it was sad to hear it go into administration just before Christmas. Hours spent flipping through album covers and then CDs but now my music comes as downloads for a fraction of the price. I miss the accumulation of discs but they are just one more object that has been digitised and yet another familiar part of the high street gone for good.  If 2018 was bad enough for the high street, that trend looks set to accelerate this year.
JAN3	My top 20 for a joyous 2019, says VANESSA FELTZ	Gentle reader, A very Happy New Year. May I wish you all you wish for yourselves in 2019 and hope you luxuriate in tip-top health, a generous dollop of wealth and unlimited portions of joyful felicity.  Here, as much for my own clarification as your information, are my New Year's resolutions for 2019.
JAN3	It's time to turn the page and start a fresh chapter - EXPRESS COMMENT	ENOUGH of this doom and gloom. This is a modal window. Beginning of dialog window. Escape will cancel and close the window.
JAN3	Glimmer of hope in battle with scourge of dementia - EXPRESS COMMENT	AS THE new year dawns, dementia remains one of our most urgent priorities. In the UK alone, about 850,000 people live with the disease in its various forms, with numbers expected to rise to more than a million by 2022.  It is an immense and growing challenge. But there are glimmers of hope, particularly as the policy emphasis moves towards prevention, helping future generations to guard against its onset. For example, there is already a 20-minute health check available to anyone aged 40 and over that looks at risk factors such as high blood pressure, diabetes and heart disease and how they can be controlled.
JAN3	Stop this migrant taxi service in the English Channel, demands LEO McKINSTRY	DITHERING seems to be the default mode of our enfeebled Government. A mood of timidity and impotence prevails about so many issues facing our country, from Brexit to knife crime. The same weakness can be seen in the disturbing crisis over migrant boats in the English Channel.  Due to prolonged inaction by British and French authorities, the problem appears to be escalating.
JAN4	The people will at last be listened to, says FREDERICK FORSYTH	IT IS always pleasant to draw a bow at a venture and later observe the arrow has hit the target gold. This is a modal window. Beginning of dialog window. Escape will cancel and close the window.
JAN4	Prisoners should not have telephones in their cells - EXPRESS COMMENT	WHEN this newspaper revealed recently that prisoners were getting phones in their cells people were rightly shocked. But it now seems that insult has been added to injury and the Government has negotiated cheap rates for lags to make their telephone calls.  It is worth remembering that the Government has only just got round to scrapping the exorbitant rates charged to people calling NHS helplines. It took years of pressure to end the 55p-a-minute rate for people who had been given a misquote on their Universal Credit. Yet without any pressure at all ministers have decided to offer a low-cost service to some of the most undeserving people in society.
JAN4	Deal or no deal, Britain will thrive outside the EU, says ROSS CLARK	I COULD not blame anyone who is stockpiling food and medicine. The admission by Brexit Secretary Stephen Barclay yesterday that the Government is now making very serious preparations for a "no-deal" Brexit will leave many people scared. This is a modal window. Beginning of dialog window. Escape will cancel and close the window.
JAN4	The Home Secretary is right about the migrants - EXPRESS COMMENT	THE Home Secretary has questioned whether the people attempting to cross the Channel are genuine asylum seekers: it took no time at all for the usual suspects to start screeching the place down.  His words were "utterly disgusting" yelled Labour MP Stella Creasy: oh no they were not. “Europe cannot close its borders," warned Jeremy Corbyn: oh yes it can and the Leader of the Opposition might not have noticed this, but it is Europe's porous borders that have caused a crisis across the continent. Its slowness to act has made a parlous situation even worse.
JAN4	Diary of a lifetime is still a work in progress, says VIRGINIA BLACKBURN	IT'S THAT special time of the year again, when you unwrap a little box to find a jewel-coloured trinket lurking inside – yes, it's time to open the new year diary. Apparently the use of actual paper diaries is falling, due to digital versions on phones and laptops, but seriously, there is nothing to beat the traditional variety. And call me a Luddite, but unlike a computerised models, a real one won't break down.  It's a joy opening a brand new diary: all those empty pages to be filled with life events yet to be lived.
JAN4	The rail network has become a national disgrace, says LEO McKINSTRY	SPEAKING on New Year's Day, the embattled Transport Secretary Chris Grayling tried to deliver an optimistic message about the rail network: “I want passenger journeys to be as good as they can be, punctual, reliable and fairly priced.” But his words will have been greeted with a sarcastic laugh by train users.  For at the very moment that Grayling extolled his vision of a brave new world of travel, brutal rises in fares came into effect, bringing more misery for passengers after months of chaos on the system.
JAN4	Fine patients who do not turn up to appointments- EXPRESS COMMENT	WE ARE constantly told that the NHS is the jewel in the national crown, the institution to be revered and protected above all else, the very foundation stone on which the welfare state is built... but it seems that over 15 million of us are not getting the message  That is the number who missed appointments last year, costing £216 million annually and causing no end of inconvenience for the medics while also penalising other patients who are being made to wait weeks for an appointment of their own.
JAN4	Foster parents are the unsung heroes of family life, says ANN WIDDECOMBE	AMONG the unsung heroes and heroines of our society are foster parents. A very large group of them came along to the pantomime last week and with them the children, black and white, large and small, bright and special needs. They all looked happy, clean, well-fed and were prattling about the show.  They were indistinguishable from the other children but each and every one of them had a background of anguish, which these temporary parents were quietly teaching them to handle.
JAN4	We must rally round to save the UK’s high streets, says TIM NEWARK	I HAVE so many happy memories of HMV that it was sad to hear it go into administration just before Christmas. Hours spent flipping through album covers and then CDs but now my music comes as downloads for a fraction of the price. I miss the accumulation of discs but they are just one more object that has been digitised and yet another familiar part of the high street gone for good.  If 2018 was bad enough for the high street, that trend looks set to accelerate this year.
