Date	title	text
JAN1	Calling fellow 18-year-olds: Here’s how we help give Britain a Final Say on Brexit	I believe three things about British politics. One, the public hates Westminster. Two, Brexit will leave my generation with what is arguably the worst inheritance in peacetime history. Three, the political class don’t understand points one or two.  For years, it was assumed that young people would not vote, would not take part in politics, and fundamentally did not care. During this time, we’ve been priced out of housing (particularly in London), had our tuition fees trebled and been given the cold shoulder by MPs. 
JAN1	The annual ‘banned’ words lists are a frustrating reminder of how much society dismisses youth culture	Ah, Christmas. Full of presents, overeating and hours spent trying to explain what it is you’re on about to everyone else in the room. “Ghosting, grandma?” you say, with a slower and louder voice than usual. “It’s when someone you thought liked you just disappears. But your boss can also ghost you. And... you can ghost other people.”
JAN1	Singapore is trying to tackle its pollution problem with a ‘smoking ban’ – but it won’t work	As of today, Singapore will introduce a “no smoking zone” along a 3km stretch of Orchard Road – one of the city’s busiest shopping districts. It sounds controversial – restricting people’s right to smoke in public spaces, as a way of tackling air pollution and improving public health. But smoking is not actually banned down the length of Orchard Road: instead, smokers will be concentrated in 40 designated smoking areas, spaced 100-200 metres apart.  Air pollution is a major challenge for cities around the world, as it’s a significant cause of death and ill-health. City dwellers have a hard time avoiding the impacts of poor air quality, and children, the elderly and people with pre-existing medical conditions are most vulnerable.
JAN1	It's no surprise that the far right has worked out how to appeal to the middle-class, digitally savvy youth	Every era, and every region, has its own defining image of terror. In the 1970s, the word “terrorist” would conjure a mental picture of the angry young men of the IRA. Ask the woman on the Clapham omnibus what is meant by terror today and most will describe a young man of Middle Eastern or North African descent, alienated economically or socially from modern British life and embroiled in the dangerous ideology of radical Islamism. In short: a jihadi. That image is wrong. Police figures show that white people have already overtaken Asian suspects as the single largest ethnic group arrested on suspicion of terror offences in Britain. The number of people referred to the government’s anti-radicalisation Prevent programme for far-right extremism has risen by more than a third in just one year.
JAN1	As a Brexiteer, I hope 2019 will see us put aside our differences and find common ground	With 2019 now upon us, a friend just asked me what wish above all others would I like granted this new year. I did not need a nanosecond to consider, because it relates to the day we leave the EU on 29 March. But it will not be a day for triumphalism on the part of us Brexiteers: but instead, a day to show magnanimity and help heal our wounded nation.
JAN1	Don’t buy into the ‘new year, new you’ nonsense – no one magically sheds bad habits when the clock strikes 12	Walking into someone’s house and seeing “live, laugh, love” on their wall makes me want to gouge my eyeballs out with a fork. And over the years, I have had the same reaction to those who insist on writing “new year, new me” captions on the first day of a new year. Christmas is finally over and 2019 is here, which can only mean my Instagram feed is going to be flooded with essays about snazzy bullet journals, vowing to be happy and avoiding f***boys in 2019. Plans to stop procrastinating or to lose weight are often top of the list, as is turning vegan for a month.
JAN1	Elizabeth Warren’s ideals may appeal to left-leaning Democrats, but it’ll make her battle with Trump much harder	Elizabeth Warren knows a thing about hard work. Married at 19, pregnant shortly afterwards, she raised a child while attending law school. She then had a second child, passed the bar, and soon divorced. For a while she was a single parent, a story she likes to recount. “A turn here, a turn there, and my life might have been very different, too,” the Massachusetts senator wrote in A Fighting Chance, a 2014 memoir she published while considering a 2016 presidential run.
JAN1	A slow-burn US trade deal is no bad thing – for the UK at least	The US ambassador to the UK, Woody Johnson, is quite right that a “massive” trade deal with between the two countries cannot be completed quickly if Theresa May’s exit agreement with the EU is agreed. But that is not a sound reason for rejecting the plan the prime minister has negotiated, which is merely about the exit terms rather than the future trading relations with the EU, and indeed with other countries. Ultimately it is in the self-interest of the UK, the US and the EU for there to be as near frictionless trade as possible between all three. The question is how best to get there from here.
JAN1	How disabled people like me suffer due to blue badge abuse and underfunded local authorities	A few months ago, a friend sent me a car sticker. Not a standard gift for your average 31-year-old girl-about-town, but it gave me a much needed laugh: “My Doctor Knows Why I Need a Disabled Parking Permit. You Don’t Need To.” Four years, one wheelchair and multiple colourful walking sticks since my diagnosis with Ehlers-Danlos syndrome, and I still haven’t worked out how to “look disabled”. Spontaneously dislocating joints, I have nailed. Juggling pain medications, fatigue and a career, I’m getting my head around.
JAN1	Why I'm not surprised that straight white man Louis CK is mocking young non-binary people like me	Even during Christmas season, it’s annoying to be called a snowflake. This time, it’s Louis CK throwing out the accusation, deeming young people who fight for a more tolerant society a PC-nuisance. In a leaked audio of a heinous recent comedy set, he is heard to be mocking gender non-conforming people for using the neutral they/them pronoun, as well as ridiculing the Parkland shooting survivors, “joking” that what they went through doesn’t make them “interesting”. He even jibes that young people should be partying instead of getting involved with politics. 
JAN2	Calling fellow 18-year-olds: Here’s how we help give Britain a Final Say on Brexit	I believe three things about British politics. One, the public hates Westminster. Two, Brexit will leave my generation with what is arguably the worst inheritance in peacetime history. Three, the political class don’t understand points one or two.  For years, it was assumed that young people would not vote, would not take part in politics, and fundamentally did not care. During this time, we’ve been priced out of housing (particularly in London), had our tuition fees trebled and been given the cold shoulder by MPs. 
JAN2	The annual ‘banned’ words lists are a frustrating reminder of how much society dismisses youth culture	Ah, Christmas. Full of presents, overeating and hours spent trying to explain what it is you’re on about to everyone else in the room. “Ghosting, grandma?” you say, with a slower and louder voice than usual. “It’s when someone you thought liked you just disappears. But your boss can also ghost you. And... you can ghost other people.”
JAN2	Singapore is trying to tackle its pollution problem with a ‘smoking ban’ – but it won’t work	As of today, Singapore will introduce a “no smoking zone” along a 3km stretch of Orchard Road – one of the city’s busiest shopping districts. It sounds controversial – restricting people’s right to smoke in public spaces, as a way of tackling air pollution and improving public health. But smoking is not actually banned down the length of Orchard Road: instead, smokers will be concentrated in 40 designated smoking areas, spaced 100-200 metres apart.  Air pollution is a major challenge for cities around the world, as it’s a significant cause of death and ill-health. City dwellers have a hard time avoiding the impacts of poor air quality, and children, the elderly and people with pre-existing medical conditions are most vulnerable.
