Date	title	text
JAN1	Migrant crossings: This Dad’s Army approach won’t secure our coast	Retaking control of our borders was one of the key factors that led so many Britons to vote for Brexit. So it must be a source of profound concern for Brexit campaigners that, when faced with their first major migrant crisis since the referendum, the British authorities have been reduced to adopting an approach more suited to Dad’s Army. It is not as though the appearance of migrant boats in the Channel is some new phenomenon that has suddenly arisen while ministers were enjoying the festive break. For the better part of a decade, thousands of refugees from areas of the globe afflicted by poverty and conflict have been congregating on the northern coast of France in the hope of making a better life for themselves in Britain. Previous efforts to prevent this desperate tide of humanity from sweeping into Britain have concentrated on improving the security arrangements around key French ports such as Calais, where the primary focus of the occupants of the various migrant camps established around the town’s perimeter was to gain illegal entry to Britain by clambering on to the Eurostar or British-bound lorries.
JAN1	Reasons to be optimistic after a tough year for tech	To say the least, 2018 has been a rocky year for the technology industry. Not long ago, it was almost universally accepted that new innovations would improve society, create enormous economic opportunities and cut down barriers. Now, it seems harder to be optimistic about technology than at any time in recent history. The rise of fake news and the use of the internet as a tool to spread division, the threats of mass surveillance and privacy violations, and fears that artificial intelligence will take our jobs or worse mean more people are increasingly sceptical of technology-induced change. Meanwhile, Silicon Valley’s giants have suffered a market crash, simmering protest and the growing threat of regulation. The conversation around tech in 2018 has been concerned with how to rein it in, rather than support it. 
JAN1	Calorie counts on menus? There’s an easier way to shrink our waistlines	Public Health England, a quango to place fear in the heart of any innocent diner, wants to limit the calorie count of foods sold in supermarkets and restaurants. The draft proposals are floating joylessly around Whitehall, demanding a maximum of a very prescriptive 544 calories per “convenience meal” (that means sandwich or ready meal to us), and 1,040 calories per pizza. It places caps on onion bhajis and coleslaw; on dishes of vegetables; on pasta sauces; possibly on your own saliva. The proposals run to over 100 pages – now that is a mouthful – and amount to a manifesto for people who do not know how to eat. It is, essentially, a manifesto for dogs, in which you are the dog, and Public Health England is your careful owner.
JAN1	Jeremy Corbyn must trust his instincts and back a no-deal Brexit	Since 17.4 million people voted to Leave the European Union in 2016 the Government has wasted time indulging in feeble negotiations. These have eventually yielded a Withdrawal Agreement that wouldn’t actually withdraw us from very much. Now, though, a window of opportunity is opening up for the UK. Beyond the smokescreen of confusion within our majority Remain Parliament, a straightforward path to economic development, political stability and true national sovereignty has emerged. If the Government won’t take it, then it is a golden opportunity for the Labour Party. Jeremy Corbyn should take the lead by calling for the UK to leave the entanglements of the Brussels bureaucracy by discarding Mrs May’s Withdrawal Agreement and opting instead for what is sometimes referred to as a “no deal Brexit”, in other words life within the simpler and more accommodating framework of the World Trade Organisation.
JAN1	Let 2019 be the year Brexiteers help Britain turn the tide of history and rediscover true democracy	Brexit will take place on March 29 of this year. Assuming there is no delay, everything will change. We’ll go from endlessly debating whether or not we should leave the EU to discussing what kind of country we’ll be outside of it – and, accepting all the mammoth administrative challenges, my deepest hope is that we don’t waste this golden opportunity. Here is a once-in-a-century chance to revive our national democracy. Brexit has highlighted two very different approaches to liberty. Many Remainers see freedom in universal terms, existing outside national borders. It’s just as wrong to call them anti-liberty as it is to call them anti-patriotic: for them, the EU extends the freedom to move and to trade, while the rights of the individual are protected by treaties and courts. There’s a bit of “ends justify the means” about this philosophy, in so far as Remainers aren’t too bothered who runs the show as long as the outcome is enlightened and liberal. How often have we heard that the EU, for all its faults, keeps our waters clean and protects workers’ rights? Or how often have we been told that British voters can’t be trusted – particularly the older or less educated ones – or that, by voting for Brexit, these people threatened the rights of others?
JAN1	From fishing to migrants, the integrity of our borders requires proper maritime patrols	Throughout the debate on Britain’s future after Brexit, the fate of one industry has acquired almost totemic status: fishing. The sense that the communities which once sustained healthy fleets were sold out by the operation of the Common Fisheries Policy (CFP) down the years fuelled anti-EU sentiment in many coastal towns. Some on the Remain side have questioned the exaggerated importance given to fishing since fewer than 12,000 people are employed on the boats themselves and the industry contributes about £420 million to GDP, less than half a per cent of the UK total. But this is a circular argument since the CFP is one reason why it is so tiny. It is impossible to say how big the industry would be had the UK been in control of its own waters this past 45 years but it would surely be far more robust than it is today. Moreover, for a maritime nation fishing has a broader social, cultural and historic importance. Whole communities that once relied on fishing have been wrecked by the predations of the CFP. The overly centralised, top-down management so beloved of Brussels has been a disaster for many of them. One policy in particular came to exemplify the madness: the requirement to throw away undersized fish or fish greater than a vessel’s quota. This has been replaced from today with a new catch-all approach whereby trawlers have an obligation to land all fish in an attempt to eradicate waste and encourage more targeted fishing.
JAN1	The withdrawal of America from global politics will change the world. We must be ready	One hundred years ago, the first New Year’s Eve following the end of the Great War provided a moment of hope after a period of unremitting misery for much of the world. The conflict had claimed millions of lives, as did the Spanish flu accompanying its conclusion. The dawn of 1919 saw a concerted international effort to learn the lessons of the disaster and ensure it did not happen again. The US president Woodrow Wilson was in Europe to attend the peace conference in Paris at which he hoped to sign up the combatants to his 14 points for a democratic future. The peace settlements, however, would sow the seeds of an even worse conflict just 30 years later. Many of the decisions taken then would reverberate through Europe until the turn of this century in the Balkans, and continue to do so to this day in the Middle East. In her history of the conference, Peacemakers, Margaret Macmillan writes that the participants “felt they had done their best but they had no illusions that they had solved the world’s problems”. She added; “They grappled with huge and difficult questions. How can the irrational passions of nationalism or religion be contained before they do more damage? How can we outlaw war? We are still asking those questions”.
JAN1	The Government must take a new direction in 2019	A lot happened in 2018, but little was resolved: as 2019 dawns, time is running out when it comes to Brexit. Theresa May originally intended the House of Commons to vote on her EU Withdrawal Agreement in December. After reading the mood of MPs, she delayed their verdict and went back to the Eurocrats for concessions. They did not budge an inch. Now the Commons is scheduled to vote in the week of January 14 and nothing has changed; the backstop, the most malignant part of the agreement, is still in place. So why would MPs vote for something they rejected in 2018 that will be exactly the same in 2019? This Government, far from being proactive or visionary, has often relied on others to panic and fold. It has encouraged the idea that a no‑deal Brexit would be the end of the world (it certainly would be traumatic and every avenue should be explored to avoid it) and hopes that the threat of Britain running out of time and falling off the cliff edge will force either the Commons or Brussels to blink. In fact, preparations to mitigate the no-deal impact are under way, just without any fanfare. An article published in yesterday’s Telegraph by an anonymous civil servant revealed that there are “hundreds” of plans “waiting for the green light from ministers to be made public”, as well as “bilateral ‘managed WTO’ agreements on the horizon”. It’s time the Government rolled out a well-publicised Project Ready, not only to coordinate this operation but to bolster public confidence.
JAN1	Letters: The EU’s agricultural policy has driven environmental destruction	SIR – The RSPB and others (Letters, December 31) claim that a “green Brexit” depends on continued cooperation with the EU. The opposite could be argued, probably with greater evidence. Most biodiversity loss in Europe is from the way we farm. Most EU spending is on the Common Agricultural Policy, which has contributed to unsustainable farming. The Common Agricultural Policy is “among the most powerful drivers of environmental destruction in the northern hemisphere”, as George Monbiot put it in October. The RSPB and its fellow pressure-groups think it easier to continue with the status quo, which has failed to deliver their objectives in the past.
JAN1	Letters: A dental crisis that could have been prevented	SIR – The number-one medical reason for young children to be hospitalised remains rotten teeth. Increasing numbers have every single tooth extracted, leaving only gums. Dentists are frustrated that NHS dental contracts continue to be target-based. They should be based on people and on prevention of dental disease. Pilot contract trials have been run in the past year as before. But even where these have failed, discredited targets are retained.
