Date	title	text	brexit
12/1/2019	"The UK has the right to stop the Article 50 process, and the route to a Final Say is clearer than ever"	"Much has changed since the People’s Vote campaign published the Roadmap to a People’s Vote in September last year. That’s why this week we published an updated edition. As the Brexit clock ticks ever more loudly, the case for a people’s vote has grown stronger in at least four ways. First, the terms of the government’s proposed withdrawal “deal” are now known and have been roundly criticised both by those who voted for Brexit and those who did not. A clear majority of MPs are on record as opposing the deal. And no wonder: despite the wording of Article 50, it provides no clear framework for an eventual permanent relationship with our European neighbours but would, for an indefinite period, leave us stuck in the limbo of obeying EU rules in which we no longer had any say. Facing a heavy defeat, the prime minister chose to deny the Commons their “meaningful vote” in December, but the four wasted weeks since then have not changed the deal. The government is now braced for a heavy defeat on Tuesday evening."	1
5/5/2019	There will be no end to the Brexit saga if Theresa May and Jeremy Corbyn waste time on another deal	Every crisis presents an opportunity – and Theresa May is trying to turn the Conservatives’ disastrous local election results in England to her advantage. She is warning Labour that the voters’ message to both main parties is that they must “do a deal” to bring the Brexit saga to an end. Ministers are more optimistic than their Labour shadows about a breakthrough when the two sides resume negotiations on Tuesday.	1
16/5/2019	It took years of therapy to understand the issues behind my mental health – to blame it all on social media is naive	"Nothing feels more defining of entering my twenties than the honest conversations I’ve had with female friends about our mental health. From exam stress and low self worth, to self-harm, depression, and anxiety, it feels like we’ve all been through a lot in the last few years. And whether that’s to do with being more open with each other as we grow older, or struggling without the support systems of childhood, one thing often strikes me: it seems like every young woman I know has faced some battle with their mental health."	0
20/5/2019	I was exiled from Rwanda years ago – this is what standing up for the rights of my people cost me	"In June 1994, I witnessed the massacre of three Catholic bishops and a number of priests by soldiers of the Rwandan Patriotic Front. One of those murdered was my uncle. At the time I was a newspaper editor in Rwanda. I had written previously about the persistent problem of injustice in the country where killers are promoted within military ranks and the government administration, and allowed to go on killing thousands of innocent people. This itself had brought me to the attention of government, but after the murder of my uncle, the pressure intensified."	0
23/5/2019	These European elections are a chance for the progressive parties to recapture lost ground	"For a set of elections that were never supposed to happen, the selection of the new British members of the European Parliament has assumed an unprecedented importance. Ever since direct elections to the then European Assembly were inaugurated in 1979, these contests have rarely drawn much of a turnout or much excitement, especially in Britain. Now, for the first time – and not a little ironically – the turnout in Britain may be higher than the EU average. Certainly they are the centre of national attention."	0
13/9/2019	I thought about my time as a soldier when I heard the Supreme Court's asylum decision this week	"Late Wednesday night, the Supreme Court released an order essentially allowing the Trump administration to bar most Central American migrants from seeking asylum in the United States while the relevant court cases are being considered. I've been processing this news for the past day or so, and I keep coming back to the same thing. It's all I can think about, really."	0
16/9/2019	A written constitution might be a good idea – but it won’t save us from the idiots	"Could a written constitution save us from the worst instincts of a gangster government? As the double headed monster that is Dominic Cummings/Boris Johnson torches Britain’s unwritten one, the prospect is being raised seriously by serious people. It’s nice to see we still have a few of them in a Britain whose prime minister compares himself to a bright green Marvel Comics character. "	0
2/6/2019	Donald Trump wants the UK to be weaker – he’s the last person we should look to for advice on Brexit	"The apparently nonsensical and undiplomatic utterings of Donald Trump should be listened to with great interest.    While the nationalists crow at the support for their isolationist chiefs, they do not realise that Trump is actively supporting the UK’s demise."	1
27/1/2019	There’s been a drop in women getting smear tests – prudish British sexual attitudes are costing lives	"With the number of UK women attending cervical cancer screenings at a 21-year low, Jo’s Cervical Cancer Trust recently conducted a survey to find out why. The results showed that the prevailing reason why those surveyed had avoided or skipped screening was not fear (71 per cent) or feeling vulnerable (75 per cent), but “embarrassment” (81 per cent), with women citing anxieties about the smell and appearance of their vulva. Many have immediately jumped to lecturing women, saying that their embarrassment is “unwarranted” or even “silly”, but this fails to address quite why so many feel the same way. The fact is that in Britain, our cultural aversion to openly discussing gynaecological and sexual health is the culprit. It’s cultivated shame, embarrassment and, consequently, a dangerous decline in screening numbers."	0
27/5/2019	Nicola Sturgeon will see the European election results as a clear message for another Scottish referendum	"If the EU parliamentary election results are anything to go by, the UK’s Brexit divisions are not going to heal any time soon. This should be unsurprising given that, five years on from Scotland’s independence referendum, the Scottish electorate remains firmly divided on its future within the UK. Last Thursday, 45 per cent of Scottish voters backed pro-independence parties – the SNP and the Scottish Greens – whereas the unionist parties tallied 55 per cent, mirroring 2014’s referendum result. After more than a decade in government in Holyrood, the SNP soared to 38 per cent, polling 23 points ahead of their nearest rivals and earning more votes than the Scottish Conservatives, the Liberal Democrats and Scottish Labour combined."	1
